vmName ,rgName,ssname
SphereBoardProd,sphereus,SphereBoardProd-ss01
SphereBoardProdSQL,sphereus,SphereBoardProdSQL-ss01
SPHEREDC01,sphereus,SPHEREDC01-ss01
SPHEREExch2010,sphereus,SPHEREExch2010-ss01
SQLserver,sphereus,SQLserver-ss01
SysAdVM01,sphereus,SysAdVM01-ss01
BUILD-Server,sphereus,BUILD-Server-ss01
CAC01-SPHDEMO,steve-azuremove-rg,CAC01-SPHDEMO-ss01
CAC01-UAT,sphereus,CAC01-UAT-ss01
caccp01-sphdemo,steve-azuremove-rg,caccp01-sphdemo-ss01
CAV01-SPHDEMO,steve-azuremove-rg,CAV01-SPHDEMO-ss01
confluencedc-Development,sphereus,confluencedc-Development-ss01
ctera-gateway,sphereus,ctera-gateway-ss01
DeveloperVM01,sphereus,DeveloperVM01-ss01
DeveloperVM02,sphereus,DeveloperVM02-ss01
DeveloperVM03,sphereus,DeveloperVM03-ss01
DeveloperVM04,sphereus,DeveloperVM04-ss01
DeveloperVM05,sphereus,DeveloperVM05-ss01
DeveloperVM06,sphereus,DeveloperVM06-ss01
DeveloperVM07,sphereus,DeveloperVM07-ss01
DEVELOPERVM09,sphereus,DEVELOPERVM09-ss01
DeveloperVM10,sphereus,DeveloperVM10-ss01
DeveloperVM11,sphereus,DeveloperVM11-ss01
DeveloperVM12,sphereus,DeveloperVM12-ss01
DeveloperVM13,sphereus,DeveloperVM13-ss01
DeveloperVM14,sphereus,DeveloperVM14-ss01
DeveloperVM15,sphereus,DeveloperVM15-ss01
DeveloperVM16,sphereus,DeveloperVM16-ss01
DeveloperVM18,sphereus,DeveloperVM18-ss01
DeveloperVM19,sphereus,DeveloperVM19-ss01
DeveloperVM20,sphereus,DeveloperVM20-ss01
DeveloperVM21,sphereus,DeveloperVM21-ss01
DeveloperVM22,sphereus,DeveloperVM22-ss01
DeveloperVM23,sphereus,DeveloperVM23-ss01
DeveloperVM24,sphereus,DeveloperVM24-ss01
DeveloperVM25,sphereus,DeveloperVM25-ss01
DeveloperVM26,sphereus,DeveloperVM26-ss01
DeveloperVM28,sphereus,DeveloperVM28-ss01
DeveloperVM29,sphereus,DeveloperVM29-ss01
DeveloperVM30,sphereus,DeveloperVM30-ss01
DeveloperVM31,sphereus,DeveloperVM31-ss01
DeveloperVM32,sphereus,DeveloperVM32-ss01
DeveloperVM33,sphereus,DeveloperVM33-ss01
DeveloperVM34,sphereus,DeveloperVM34-ss01
DeveloperVM35,sphereus,DeveloperVM35-ss01
DeveloperVM36,sphereus,DeveloperVM36-ss01
DeveloperVMRM,sphereus,DeveloperVMRM-ss01
JenkinsAgent-0,sphereus,JenkinsAgent-0-ss01
JumpBox1,sphereus,JumpBox1-ss01
LabADWin2016Svr,sphereus,LabADWin2016Svr-ss01
LabExWin2016Svr,sphereus,LabExWin2016Svr-ss01
ldap-client,sphereus,ldap-client-ss01
NetAppDataNode03,sphereus,NetAppDataNode03-ss01
NetAppDataNode04,sphereus,NetAppDataNode04-ss01
NetAppDataNode05,sphereus,NetAppDataNode05-ss01
ORLdap-Dev-01,sphereus,ORLdap-Dev-01-ss01
ORLdap-Dev-02,sphereus,ORLdap-Dev-02-ss01
RELEASE-6-0-0-0,sphereus,RELEASE-6-0-0-0-ss01
Release-6-0-1-0,sphereus,Release-6-0-1-0-ss01
RELEASE-6-1-0-0,sphereus,RELEASE-6-1-0-0-ss01
RELEASE-6-2-0-0,sphereus,RELEASE-6-2-0-0-ss01
RELEASE-6-2-1-0,sphereus,RELEASE-6-2-1-0-ss01
release-6-3-0-0,sphereus,release-6-3-0-0-ss01
rhel7.9-hadoop3,sphereus,rhel7.9-hadoop3-ss01
rhel7.9-hadoop3-2,sphereus,rhel7.9-hadoop3-2-ss01
rhel7.9-hadoop3-3,sphereus,rhel7.9-hadoop3-3-ss01
SharedDev,sphereus,SharedDev-ss01
SPHDEVCAC-01,sphereus,SPHDEVCAC-01-ss01
SPHDEVCAV-01,sphereus,SPHDEVCAV-01-ss01
SphereDevSQL01,sphereus,SphereDevSQL01-ss01
SPsvr,sphereus,SPsvr-ss01
